AIRPORT,DISPLAY_AIRPORT_NAME,LATITUDE,LONGITUDE
ABT,King Saud Bin Abdulaziz,20.29611111,41.63416667
ABT,King Saud Bin Abdulaziz,20.29611111,41.63416667
ABT,King Saud Bin Abdulaziz,20.29833333,41.63583333
ABV,Abuja Nnamdi Azikiwe International,9.00555556,7.26611111
ABV,Abuja Nnamdi Azikiwe International,9.00666667,7.26305556
ABV,Abuja Nnamdi Azikiwe International,9.00666667,7.26305556
ABV,Nnamdi Azikiwe International,9.00666667,7.26305556
ABV,Nnamdi Azikiwe International,9.00666667,7.26305556
ABX,Albury Airport,-36.06833333,146.97666667
ABX,Albury Airport,-36.06777778,146.95805556
ABY,Southwest Georgia Regional,31.53222222,-84.19611111
ABY,Southwest Georgia Regional,31.53555556,-84.19444444
ABZ,Aberdeen Dyce,57.20194444,-2.19777778
ABZ,Aberdeen Dyce,57.20194444,-2.19777778
ABZ,Aberdeen Dyce,57.20250000,-2.19805556
ABZ,Aberdeen Dyce,57.20361111,-2.19916667
ABZ,Aberdeen Dyce,57.20361111,-2.19916667
ABZ,Aberdeen Dyce,57.20416667,-2.19861111
ACA,Acapulco International,16.75722222,-99.75388889
ACA,General Juan N Alvarez International,16.75555556,-99.76694444
ACA,General Juan N Alvarez International,16.75694444,-99.75388889
ACB,Antrim County,44.98472222,-85.19916667
ACB,Antrim County,44.98861111,-85.19833333
ACC,Accra Kotoka International,5.59527778,-0.17083333
ACC,Accra Kotoka International,5.60444444,-0.16750000
ACC,Kotoka International,5.60444444,-0.16750000
ACC,Kotoka International,5.60500000,-0.16722222
ACE,Lanzarote,28.94250000,-13.60472222
ACE,Lanzarote,28.94555556,-13.60527778
ACH,St Gallen Altenrhein,47.48500000,9.56000000
ACH,St Gallen Altenrhein,47.48527778,9.56000000
ACI,Alderney Airport,49.70611111,-2.21472222
ACI,Alderney Airport,49.70611111,-2.21472222
ACI,Alderney Airport,49.70666667,-2.21472222
ACI,Alderney Airport,49.70666667,-2.21472222
ACI,Alderney Airport,49.70666667,-2.21444444
ACI,Alderney Airport,49.70694444,-2.21527778
ACI,Alderney Airport,49.70694444,-2.21472222
ACK,Nantucket Memorial,41.25305556,-70.06027778
ACK,Nantucket Memorial,41.25305556,-70.06027778
ACK,Nantucket Memorial,41.25305556,-70.06000000
ACK,Nantucket Memorial,41.25305556,-70.06000000
ACK,Nantucket Memorial,41.25333333,-70.06055556
ACK,Nantucket Memorial,41.25666667,-70.05972222
ACT,Waco Regional,31.61138889,-97.22861111
ACT,Waco Regional,31.61222222,-97.23027778
ACU,Achutupo Airport,8.43333333,-77.96666667
ACV,Arcata,40.97777778,-124.10833333
ACV,Arcata,40.97805556,-124.10861111
ACV,Arcata,40.97805556,-124.10861111
ACV,Arcata,40.97916667,-124.10750000
ACV,California Redwood Coast Humboldt County,40.97777778,-124.10833333
ACV,California Redwood Coast Humboldt County,40.97777778,-124.10833333
ACY,Atlantic City International,39.45750000,-74.57805556
ACY,Atlantic City International,39.45750000,-74.57722222
ACY,Nafec Atl,39.45666667,-74.57777778
ACY,Nafec Atlantic City,39.45611111,-74.57805556
ADA,Adana International,36.98222222,35.28027778
ADA,Adana Sakirpasa,36.98361111,35.28083333
ADB,Adnan Menderes,38.29222222,27.15583333
ADB,Adnan Menderes,38.29472222,27.16000000
ADC,Andakombe Airport,-7.13722222,145.74500000
ADC,Andakombe Airport,-7.13638889,145.74388889
ADC,Andakombe Airport,-7.13611111,145.74416667
ADD,Bole International,8.97805556,38.79944444
ADD,Haile Selassie I International,8.97805556,38.79944444
ADE,Aden International,12.82777778,45.03055556
ADE,Aden International,12.82944444,45.02888889
ADE,Aden International,12.83444444,45.02888889
ADJ,King Abdullah Ben,31.97222222,35.99000000
ADJ,Marka International,31.97222222,35.99000000
ADJ,Marka International,31.97277778,35.99166667
ADK,Adak,51.87805556,-176.64611111
ADK,Adak,51.87805556,-176.64611111
ADK,Adak,51.87805556,-176.64583333
ADK,Adak,51.88361111,-176.64250000
ADK,Adak,51.88361111,-176.64250000
ADK,Adak NS,51.88277778,-176.64472222
ADL,Adelaide International,-34.94833333,138.53472222
ADL,Adelaide International,-34.94750000,138.53333333
ADL,Adelaide International,-34.94500000,138.53055556
ADM,Ardmore Municipal,34.30305556,-97.01972222
ADM,Ardmore Municipal,34.30388889,-97.02055556
ADM,Ardmore Municipal,34.30388889,-97.02055556
ADM,Ardmore Municipal,34.30416667,-97.02055556
ADM,Ardmore Municipal,34.30416667,-97.02055556
ADN,Andes Airport,5.66666667,-75.88333333
ADN,Andes Airport,5.69777778,-75.88027778
ADN,Andes Airport,5.69777778,-75.88027778
ADN,Andes Airport,5.69805556,-75.87972222
ADN,Andes Airport,5.69805556,-75.87972222
ADO,Andamooka Airport,-30.43777778,137.13722222
ADQ,Kodiak Airport,57.74972222,-152.49388889
ADQ,Kodiak Airport,57.74972222,-152.49388889
ADQ,Kodiak Airport,57.75000000,-152.49388889
ADQ,Kodiak Airport,57.75000000,-152.49388889
ADS,Addison,32.96833333,-96.83611111
ADS,Addison,32.96861111,-96.83638889
ADT,Ada Municipal,34.80416667,-96.67111111
ADT,Ada Municipal,34.80416667,-96.67111111
ADT,Ada Regional,34.80416667,-96.67111111
ADT,Ada Regional,34.80416667,-96.67111111
ADW,Andrews AFB,38.81083333,-76.86722222
ADW,Andrews AFB,38.81083333,-76.86694444
ADW,Andrews AFB,38.81083333,-76.86694444
ADW,Joint Base Andrews,38.81083333,-76.86694444
ADW,Joint Base Andrews,38.81083333,-76.86694444
ADX,RAF Leuchars,56.37277778,-2.86861111
ADX,RAF Leuchars,56.37277778,-2.86833333
ADX,RAF Leuchars,56.37277778,-2.86833333
ADX,RAF Leuchars,56.37416667,-2.86861111
ADX,RAF Leuchars,56.37416667,-2.86861111
ADZ,Gustavo Rojas Pinilla,12.58361111,-81.71138889
ADZ,Gustavo Rojas Pinilla,12.58361111,-81.71111111
ADZ,San Andres,12.58333333,-81.70000000
ADZ,Sesquicentenario,12.58305556,-81.71166667
AE1,Liwa Airbase,23.65138889,53.82333333
AE2,Sweihan Airbase,24.52444444,54.97611111
AED,Aleneva Airport,58.03333333,-152.90000000
AEG,Aek Godang,1.40000000,99.43055556
AEH,Abeche Airport,13.84694444,20.84361111
AEH,Abeche Airport,13.84750000,20.84333333
AEH,Abeche Airport,13.85138889,20.85083333
AEO,Aioun El Atrouss Airport,16.70916667,-9.63555556
AEO,Aioun El Atrouss Airport,16.71138889,-9.63777778
AEP,Aeroparque Jorge Newbery,-34.55916667,-58.41583333
AEP,Aeroparque Jorge Newbery,-34.55888889,-58.41583333
AER,Adler/Sochi Airport,43.45000000,39.93333333
AER,Adler/Sochi Airport,43.45000000,39.93333333
AES,Alesund,62.56027778,6.11027778
AES,Vigra,62.56027778,6.11027778
AES,Vigra,62.56111111,6.11416667
AES,Vigra,62.56250000,6.10527778
AET,Allakaket Airport,66.55194444,-152.62222222
AET,Allakaket Airport,66.56166667,-152.65833333
AEX,Alexandria International,31.32750000,-92.54861111
AEX,England AFB,31.32416667,-92.54694444
AEY,Akureyri Airport,65.65666667,-18.07194444
AEY,Akureyri Airport,65.65666667,-18.07194444
AEY,Akureyri Airport,65.65694444,-18.07222222
AEY,Akureyri Airport,65.66000000,-18.07277778
AEY,Akureyri Airport,65.66000000,-18.07277778
AF1,Bagram Air Base,34.94611111,69.26500000
AF2,Bastion Airfield,31.85027778,64.22361111
AF2,Bastion Airfield,31.85027778,64.22361111
AF2,Bastion Airfield,31.85694444,64.22083333
AF2,Bastion Airfield,31.85694444,64.22083333
AF2,Bastion Airfield,31.85694444,64.22111111
AF3,Dwyer Airport,31.08972222,64.06638889
AF3,Dwyer Airport,31.09194444,64.06694444
AF3,Dwyer Airport,31.09194444,64.06694444
AF4,Shindand Airport,33.39222222,62.26111111
AFA,San Rafael Airport,-34.58916667,-68.40055556
AFA,San Rafael Airport,-34.58861111,-68.40277778
AFA,San Rafael Airport,-34.58777778,-68.40361111
AFA,San Rafael Airport,-34.58777778,-68.40361111
AFA,San Rafael Airport,-34.58777778,-68.40333333
AFA,San Rafael Airport,-34.58777778,-68.40333333
AFF,USAF Academy Airfield,38.96972222,-104.81277778
AFF,USAF Academy Airfield,38.96972222,-104.81277778
AFF,USAF Academy Airfield,38.96972222,-104.81250000
AFF,USAF Academy Airfield,38.97416667,-104.81777778
AFF,USAF Academy Airfield,38.97416667,-104.81777778
AFK,Nebraska City Municipal,40.60555556,-95.86777778
AFK,Nebraska City Municipal,40.60555556,-95.86777778
AFK,Nebraska City Municipal,40.60638889,-95.86666667
AFK,Nebraska City Municipal,40.60666667,-95.86666667
AFK,Nebraska City Municipal,40.60666667,-95.86666667
AFK,Nebraska City Municipal,40.60694444,-95.86583333
AFO,Afton Municipal,42.70888889,-110.94222222
AFO,Afton Municipal,42.71666667,-110.93333333
AFP,Anson County,35.02055556,-80.07722222
AFP,Anson County,35.02055556,-80.07722222
AFP,Anson County,35.02388889,-80.08138889
AFP,Anson County Jeff Cloud Field,35.02055556,-80.07722222
AFP,Anson County Jeff Cloud Field,35.02055556,-80.07722222
AFU,Al Udeid Air Base,25.11583333,51.31527778
AFW,Fort Worth Alliance,32.98666667,-97.31750000
AFW,Fort Worth Alliance,32.98750000,-97.31888889
AFW,Fort Worth Alliance,32.98777778,-97.31888889
AFW,Fort Worth Alliance,32.98777778,-97.31888889
AFW,Fort Worth Alliance,32.98944444,-97.31944444
AFW,Fort Worth Alliance,32.98944444,-97.31944444
AFW,Fort Worth Alliance,32.99027778,-97.31944444
AFW,Perot Field Fort Worth Alliance,32.99027778,-97.31944444
AFY,Afyon Airport,38.72638889,30.60111111
AFY,Afyon Airport,38.73500000,30.59555556
AGA,Agadir/Inezgane,30.38055556,-9.54583333
AGA,Inezgane,30.38138889,-9.54611111
AGB,Augsburg Airport,48.42444444,10.93222222
AGB,Augsburg Airport,48.42527778,10.93194444
AGB,Muehlhausen,48.42611111,10.93305556
AGC,Allegheny County,40.35444444,-79.93027778
AGC,Allegheny County,40.35444444,-79.93027778
AGC,Allegheny County,40.35444444,-79.92916667
AGC,Allegheny County,40.35444444,-79.92916667
AGC,Allegheny County,40.35472222,-79.93000000
AGC,Allegheny County,40.35472222,-79.93000000
AGF,Agen La Garenne,44.17388889,0.59305556
AGF,Agen La Garenne,44.17388889,0.59305556
AGF,Agen La Garenne,44.17472222,0.59055556
AGF,Agen La Garenne,44.17472222,0.59055556
AGF,La Garenne,44.17361111,0.59861111
AGF,La Garenne,44.17388889,0.59305556
